date,total_asset,pnl,trade_cost,reserve_cash,tvr,long_num
20200102,10000000.0,0.0,0.0,10000000.0,0.0,0
20200103,10000000.0,0.0,0.0,10000000.0,0.0,0
20200106,10000000.0,0.0,0.0,10000000.0,0.0,0
20200107,10000000.0,0.0,0.0,10000000.0,0.0,0
20200108,10000000.0,0.0,0.0,10000000.0,0.0,0
20200109,10000000.0,0.0,0.0,10000000.0,0.0,0
20200110,10000000.0,0.0,0.0,10000000.0,0.0,0
20200113,10000000.0,0.0,0.0,10000000.0,0.0,0
20200114,10000000.0,0.0,0.0,10000000.0,0.0,0
20200115,10000000.0,0.0,0.0,10000000.0,0.0,0
20200116,10000000.0,0.0,0.0,10000000.0,0.0,0
20200117,10000000.0,0.0,0.0,10000000.0,0.0,0
20200120,10000000.0,0.0,0.0,10000000.0,0.0,0
20200121,10000000.0,0.0,0.0,10000000.0,0.0,0
20200122,10000000.0,0.0,0.0,10000000.0,0.0,0
